AÑO,MES,DISTRITO,FUEGOS,DAÑOS EN CONSTRUCCION,SALVAMENTOS Y RESCATES,DAÑOS POR AGUA,INCIDENTES DIVERSOS,SALIDAS SIN INTERVENCION,SERVICIOS VARIOS,TOTAL
2020,Enero,USERA,25.0,8.0,13.0,3.0,27.0,7.0,6.0,89.0
2020,Enero,PUENTE VALLECAS,47.0,18.0,23.0,5.0,33.0,7.0,4.0,137.0
2020,Enero,MORATALAZ,17.0,4.0,11.0,6.0,16.0,6.0,2.0,62.0
2020,Enero,CIUDAD LINEAL,26.0,13.0,20.0,10.0,37.0,5.0,3.0,114.0
2020,Enero,HORTALEZA,15.0,17.0,16.0,6.0,38.0,4.0,3.0,99.0
2020,Enero,VILLAVERDE,33.0,10.0,18.0,9.0,25.0,6.0,4.0,105.0
2020,Enero,VILLA DE VALLECAS,32.0,7.0,14.0,3.0,24.0,4.0,1.0,85.0
2020,Enero,VICALVARO,17.0,6.0,11.0,3.0,15.0,4.0,0.0,56.0
2020,Enero,SAN BLAS,25.0,18.0,10.0,3.0,38.0,9.0,4.0,107.0
2020,Enero,BARAJAS,5.0,3.0,1.0,2.0,5.0,5.0,0.0,21.0
2021,diciembre,CENTRO,19.0,18.0,47.0,24.0,28.0,36.0,12.0,184.0
2021,diciembre,ARGANZUELA,9.0,4.0,28.0,7.0,23.0,15.0,1.0,87.0
2021,diciembre,RETIRO,12.0,3.0,21.0,12.0,13.0,15.0,7.0,83.0
2021,diciembre,SALAMANCA,14.0,5.0,20.0,8.0,15.0,12.0,12.0,86.0
2021,diciembre,CHAMARTIN,11.0,3.0,24.0,5.0,13.0,20.0,6.0,82.0
2021,diciembre,TETUAN,13.0,8.0,28.0,13.0,17.0,16.0,4.0,99.0
2021,diciembre,CHAMBERI,23.0,7.0,30.0,6.0,15.0,11.0,2.0,94.0
2021,diciembre,FUENCARRAL,10.0,5.0,33.0,7.0,18.0,23.0,8.0,104.0
2021,diciembre,MONCLOA,9.0,6.0,23.0,6.0,16.0,25.0,2.0,87.0
2021,diciembre,LATINA,17.0,2.0,30.0,8.0,17.0,16.0,7.0,97.0
2021,diciembre,CARABANCHEL,29.0,10.0,39.0,10.0,14.0,17.0,0.0,119.0
2021,diciembre,USERA,25.0,1.0,21.0,5.0,7.0,22.0,1.0,82.0
2021,diciembre,PUENTE VALLECAS,32.0,6.0,48.0,7.0,18.0,23.0,10.0,144.0
2021,diciembre,MORATALAZ,8.0,0.0,14.0,5.0,3.0,4.0,1.0,35.0
2021,diciembre,CIUDAD LINEAL,13.0,3.0,44.0,8.0,14.0,20.0,1.0,103.0
2021,diciembre,HORTALEZA,13.0,4.0,19.0,7.0,10.0,23.0,2.0,78.0
2021,diciembre,VILLAVERDE,28.0,2.0,18.0,4.0,12.0,27.0,1.0,92.0
2021,diciembre,VILLA DE VALLECAS,17.0,0.0,21.0,5.0,8.0,12.0,0.0,63.0
2021,diciembre,VICALVARO,20.0,2.0,10.0,2.0,4.0,8.0,3.0,49.0
2021,diciembre,SAN BLAS,19.0,0.0,26.0,5.0,7.0,11.0,2.0,70.0
2021,diciembre,BARAJAS,7.0,0.0,4.0,0.0,9.0,9.0,1.0,30.0
2021,diciembre,FUERA TERMINO MUNICIPAL,0.0,0.0,2.0,0.0,0.0,2.0,1.0,5.0
2021,noviembre,CENTRO,27.0,13.0,48.0,28.0,40.0,32.0,13.0,201.0
2021,noviembre,ARGANZUELA,15.0,4.0,41.0,9.0,21.0,19.0,2.0,111.0
2021,noviembre,RETIRO,4.0,6.0,17.0,11.0,10.0,8.0,1.0,57.0
2021,noviembre,SALAMANCA,18.0,11.0,28.0,6.0,19.0,17.0,13.0,112.0
2021,noviembre,CHAMARTIN,17.0,3.0,24.0,7.0,13.0,19.0,10.0,93.0
2021,noviembre,TETUAN,16.0,10.0,30.0,11.0,20.0,19.0,5.0,111.0
2021,noviembre,CHAMBERI,7.0,12.0,34.0,12.0,11.0,11.0,7.0,94.0
2021,noviembre,FUENCARRAL,28.0,4.0,34.0,10.0,21.0,16.0,7.0,120.0
2021,noviembre,MONCLOA,11.0,11.0,22.0,5.0,13.0,23.0,5.0,90.0
2021,noviembre,LATINA,22.0,6.0,31.0,16.0,10.0,17.0,5.0,107.0
2021,noviembre,CARABANCHEL,21.0,6.0,28.0,9.0,19.0,19.0,1.0,103.0
2021,noviembre,USERA,22.0,2.0,22.0,8.0,5.0,23.0,2.0,84.0
2021,noviembre,PUENTE VALLECAS,31.0,6.0,38.0,16.0,12.0,26.0,11.0,139.0
2021,noviembre,MORATALAZ,5.0,0.0,13.0,6.0,4.0,7.0,2.0,37.0
2021,noviembre,CIUDAD LINEAL,18.0,5.0,35.0,11.0,14.0,15.0,3.0,101.0
2021,noviembre,HORTALEZA,13.0,1.0,30.0,5.0,7.0,26.0,3.0,85.0
2021,noviembre,VILLAVERDE,28.0,4.0,34.0,9.0,11.0,13.0,7.0,106.0
2021,noviembre,VILLA DE VALLECAS,31.0,2.0,27.0,3.0,6.0,19.0,4.0,92.0
2021,noviembre,VICALVARO,16.0,1.0,11.0,4.0,3.0,6.0,3.0,44.0
2021,noviembre,SAN BLAS,12.0,2.0,25.0,8.0,9.0,13.0,7.0,76.0
2021,noviembre,BARAJAS,3.0,0.0,4.0,0.0,3.0,6.0,2.0,18.0
2021,octubre,CENTRO,27.0,23.0,51.0,26.0,24.0,29.0,9.0,189.0
2021,octubre,ARGANZUELA,10.0,5.0,26.0,9.0,12.0,21.0,4.0,87.0
2021,octubre,RETIRO,4.0,7.0,17.0,5.0,8.0,15.0,1.0,57.0
2021,octubre,SALAMANCA,15.0,13.0,31.0,5.0,13.0,18.0,5.0,100.0
2021,octubre,CHAMARTIN,11.0,5.0,28.0,10.0,20.0,9.0,4.0,87.0
2021,octubre,TETUAN,12.0,7.0,24.0,14.0,11.0,23.0,1.0,92.0
2021,octubre,CHAMBERI,7.0,7.0,26.0,10.0,13.0,15.0,1.0,79.0
2021,octubre,FUENCARRAL,21.0,2.0,41.0,6.0,19.0,21.0,8.0,118.0
2021,octubre,MONCLOA,13.0,4.0,32.0,9.0,12.0,17.0,9.0,96.0
2021,octubre,LATINA,16.0,9.0,36.0,9.0,15.0,16.0,5.0,106.0
2021,octubre,CARABANCHEL,23.0,5.0,32.0,10.0,20.0,39.0,4.0,133.0
2021,octubre,USERA,16.0,7.0,25.0,9.0,8.0,19.0,4.0,88.0
2021,octubre,PUENTE VALLECAS,37.0,8.0,29.0,16.0,16.0,22.0,8.0,136.0
2021,octubre,MORATALAZ,4.0,3.0,21.0,2.0,5.0,7.0,1.0,43.0
2021,octubre,CIUDAD LINEAL,17.0,9.0,33.0,17.0,14.0,15.0,2.0,107.0
2021,octubre,HORTALEZA,23.0,0.0,21.0,5.0,15.0,26.0,1.0,91.0
2021,octubre,VILLAVERDE,22.0,5.0,17.0,6.0,8.0,24.0,4.0,86.0
2021,octubre,VILLA DE VALLECAS,17.0,0.0,19.0,4.0,1.0,16.0,3.0,60.0
